Time	Position	Counts	Elapsed	USecs
13:19:01 968533	128.7105	257421	6378681.173	6378681194
13:19:02 472	129.1815	258363	6378713.112	6378713135
13:19:02 32376	129.6685	259337	6378745.016	6378745042
13:19:02 64397	130.1515	260303	6378777.037	6378777058
13:19:02 96318	130.6265	261253	6378808.958	6378808986
13:19:02 128229	131.094	262188	6378840.869	6378840884
13:19:02 160258	131.5765	263153	6378872.898	6378872920
13:19:02 192227	132.0525	264105	6378904.867	6378904890
13:19:02 224193	132.5345	265069	6378936.833	6378936855
13:19:02 256135	133.0095	266019	6378968.775	6378968804
13:19:02 288072	133.4925	266985	6379000.712	6379000738
13:19:02 320068	133.968	267936	6379032.708	6379032730
